"","user_lat","user_long","freq"
"165",-26.85213,26.66672,4
"166",-26.82414,-65.2226,5
"167",-26.81427,-54.34387,3
"168",-26.80077,-60.84215,1
"169",-26.67313,27.92615,1
"170",-26.66667,-57.91667,1
"171",-26.5,153,1
"172",-26.30444,-48.84556,1
"173",-26.26781,27.85849,1
"174",-26.21197,28.25958,1
"175",-26.20227,28.04363,24
"176",-26.17753,-58.17814,3
"177",-26.17673,27.96353,1
"178",-26.1625,27.8725,5
"179",-26.14201,27.7979,1
"180",-26.1333,-59.6,2
"181",-26.10859,28.2377,1
"182",-26.08333,28.25,1
"183",-25.98953,28.12843,1
"184",-25.96553,32.58322,1
"185",-25.88492,25.67792,2
"186",-25.74973,28.24314,1
"187",-25.74486,28.18783,4
"188",-25.7425,28.2326,3
"189",-25.66466,-49.30426,2
"190",-25.54778,-54.58806,1
"191",-25.44472,-49.1925,1
"192",-25.43169,-52.98265,1
"193",-25.42778,-49.27306,17
"194",-25.4166667,-49.25,2
"195",-25.30066,-57.63591,11
"196",-25.21306,-50.97778,1
"197",-25.095,-50.16194,1
"198",-25,25.75,1
"199",-25,122,2
"200",-25,135,24
"201",-24.95583,-53.45528,1
"202",-24.7859,-65.41166,13
"203",-24.4875,-47.84361,1
"204",-24.19456,-65.29712,1
"205",-24.1833,29.0167,2
"206",-24.0651,-53.88444,1
"207",-24.04556,-52.38306,2
"208",-24.00583,-46.40278,1
"209",-24,-51,8
"210",-23.99306,-46.25639,3
"211",-23.96306,-46.39194,2
"212",-23.96083,-46.33361,1
"213",-23.90448,29.46885,2
"214",-23.895,-46.42528,1
"215",-23.7917,132.6818,1
"216",-23.77806,-45.35806,2
"217",-23.69389,-46.565,2
"218",-23.66778,-46.46139,1
"219",-23.66389,-46.53833,5
"220",-23.65639,-47.2225,1
"221",-23.65236,-70.3954,3
"222",-23.64889,-46.85222,1
"223",-23.62028,-45.41306,1
"224",-23.60444,32.96806,3
"225",-23.60389,-46.91917,1
"226",-23.5475,-46.63611,128
"227",-23.5325,-46.79167,1
"228",-23.5225,-46.83556,1
"229",-23.50167,-47.45806,3
"230",-23.4933,-61.9267,34
"231",-23.46278,-46.53333,4
"232",-23.31028,-51.16278,3
"233",-23.30528,-45.96583,1
"234",-23.26667,-55.53333,1
"235",-23.26417,-47.29917,2
"236",-23.18639,-46.88417,1
"237",-23.17944,-45.88694,4
"238",-23.16056,-49.96944,1
"239",-23.09028,-47.21806,1
"240",-23.0276,-44.3322,3
"241",-23.00667,-44.31806,1
"242",-23,-58,1
"243",-22.99333,-57.99639,14
"244",-22.92389,-45.46167,1
"245",-22.92008,-43.33069,17
"246",-22.92,-42.51028,1
"247",-22.90556,-47.06083,8
"248",-22.90278,-43.2075,151
"249",-22.89861,-43.86389,1
"250",-22.88333,-43.10361,2
"251",-22.87944,-42.01861,1
"252",-22.87789,-43.48501,1
"253",-22.87278,-42.34306,1
"254",-22.83298,-43.29767,2
"255",-22.82327,-43.39668,2
"256",-22.8075,-43.41389,1
"257",-22.80389,-43.37222,1
"258",-22.78556,-43.31167,2
"259",-22.76417,-43.39944,1
"260",-22.75917,-43.45111,1
